,duration,flag_OTH,flag_REJ,flag_RSTO,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,src_bytes,dst_bytes,hot,logged_in,num_compromised,root_shell,num_access_files,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,source
7375,0,0,0,0,0,0,0,0,0,1,0,187,1330,0,1,0,0,0,7,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,76,255,1.0,0.0,0.01,0.07,0.0,0.01,0.01,0.01,1,original
3317,0,0,0,0,0,0,0,0,0,1,0,148,35147,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,115,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,1,original
1741,0,0,0,0,0,0,0,0,0,1,0,311,8004,0,1,0,0,0,22,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,255,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,1,original
1393,0,0,0,0,0,0,0,0,0,1,0,306,1072,0,1,0,0,0,6,25,0.0,0.04,0.0,0.0,1.0,0.0,0.28,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
812,0,0,0,0,0,0,0,0,0,1,0,218,5280,0,1,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,1,original
1894,0,0,0,0,0,0,0,0,0,1,0,322,1973,0,1,0,0,0,22,44,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
7817,0,0,0,0,0,0,0,0,0,1,0,295,3350,0,1,0,0,0,18,25,0.0,0.0,0.0,0.0,1.0,0.0,0.08,18,255,1.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,1,original
1978,0,0,0,0,0,0,0,0,0,1,0,239,350,0,1,0,0,0,4,18,0.0,0.0,0.0,0.0,1.0,0.0,0.17,29,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,1,original
6194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1.0,1.0,0.0,0.0,0.75,0.5,0.0,255,63,0.25,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0,original
6199,0,0,0,0,0,0,0,0,0,1,0,216,3396,0,1,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,255,1.0,0.0,0.14,0.02,0.0,0.0,0.0,0.0,1,original
5659,0,0,0,0,0,0,0,0,0,1,0,256,6094,0,1,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,9,255,1.0,0.0,0.11,0.04,0.0,0.01,0.0,0.0,1,original
4840,0,0,0,0,0,0,0,0,0,1,0,250,2647,0,1,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,1,original
2002,0,0,0,0,0,0,0,0,0,1,0,219,495,0,1,0,0,0,26,27,0.0,0.0,0.0,0.0,1.0,0.0,0.07,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
1775,0,0,0,0,0,0,0,0,0,1,0,251,1414,0,1,0,0,0,5,6,0.2,0.33,0.0,0.0,1.0,0.0,0.33,108,255,1.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,1,original
2344,0,0,0,0,0,0,0,0,0,1,0,228,1438,0,1,0,0,0,3,48,0.33,0.02,0.0,0.0,1.0,0.0,0.08,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
4567,0,0,0,0,0,0,0,0,0,1,0,244,8932,0,1,0,0,0,12,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
4657,0,0,0,0,0,0,0,1,0,0,0,54540,8315,1,1,0,0,0,6,6,0.17,0.17,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.01,0.01,0.04,0.04,0,original
7414,0,0,0,0,0,0,0,0,0,1,0,285,247,0,1,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,24,255,1.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,1,original
3578,0,0,0,0,0,0,0,0,0,1,0,226,12884,0,1,0,0,0,11,22,0.0,0.05,0.0,0.0,1.0,0.0,0.09,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
921,0,0,0,0,0,0,0,0,0,1,0,261,6961,0,1,0,0,0,7,20,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7,255,1.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,1,original
322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18,4,0.22,0.28,0.06,0.0,0.06,0.0,0.22,1.0,1,original
6848,0,0,0,0,0,0,0,0,0,1,0,193,1117,0,1,0,0,0,14,24,0.0,0.0,0.0,0.0,1.0,0.0,0.08,48,230,1.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,1,original
4604,0,0,0,0,0,0,0,0,0,1,0,219,3248,0,1,0,0,0,11,12,0.0,0.0,0.0,0.0,1.0,0.0,0.17,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
6272,0,0,0,0,0,0,0,0,0,1,0,263,17087,0,1,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7,255,1.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,1,original
7594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,288,25,1.0,1.0,0.0,0.0,0.09,0.05,0.0,255,25,0.1,0.05,0.0,0.0,1.0,1.0,0.0,0.0,0,original
6915,0,0,0,0,0,0,0,0,0,1,0,297,2635,0,1,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
7426,0,0,0,0,0,0,0,0,0,1,0,224,688,0,1,0,0,0,25,26,0.0,0.0,0.0,0.0,1.0,0.0,0.08,25,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,1,original
4502,0,0,0,0,0,0,0,0,0,1,0,312,1195,0,1,0,0,0,14,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
3033,0,0,0,0,0,0,0,0,0,1,0,286,1267,0,1,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,255,1.0,0.0,0.25,0.04,0.0,0.0,0.0,0.0,1,original
231,0,0,0,0,0,0,0,0,0,1,0,376,345,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,190,255,1.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0,1,original
5889,0,0,0,0,0,0,0,0,0,1,0,371,5081,0,1,0,0,0,10,13,0.0,0.0,0.0,0.0,1.0,0.0,0.15,74,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,1,original
110,0,0,0,0,0,0,0,0,0,1,0,215,584,0,1,0,0,0,4,9,0.0,0.0,0.0,0.0,1.0,0.0,0.56,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
4512,0,0,0,0,0,0,0,0,0,1,0,315,261,0,1,0,0,0,13,36,0.0,0.0,0.0,0.0,1.0,0.0,0.11,187,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,1,original
1079,0,0,0,0,0,0,0,0,0,1,0,314,2193,0,1,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,104,255,1.0,0.0,0.01,0.05,0.01,0.01,0.01,0.01,1,original
6561,0,0,0,0,0,0,0,0,0,1,0,218,762,0,1,0,0,0,14,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,145,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,1,original
1115,0,0,0,0,0,0,0,0,0,1,0,229,12598,0,1,0,0,0,6,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,255,1.0,0.0,0.17,0.04,0.0,0.01,0.0,0.0,1,original
3085,0,0,0,0,0,0,0,0,0,1,0,214,15150,0,1,0,0,0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,1,original
6825,0,0,0,0,0,0,0,0,0,1,0,339,454,0,1,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,1,original
1467,0,0,0,0,0,0,0,0,0,1,0,312,422,0,1,0,0,0,5,6,0.0,0.0,0.0,0.0,1.0,0.0,0.33,5,255,1.0,0.0,0.2,0.05,0.0,0.0,0.0,0.0,1,original
5169,0,0,0,0,0,0,0,0,0,1,0,253,3030,0,1,0,0,0,5,11,0.0,0.0,0.0,0.0,1.0,0.0,0.36,15,255,1.0,0.0,0.07,0.04,0.0,0.0,0.0,0.0,1,original
2746,0,0,0,0,0,0,0,0,0,1,0,208,22260,0,1,0,0,0,5,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
1578,0,0,0,0,0,0,0,0,0,1,0,225,2649,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,237,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1,original
4198,0,0,0,0,0,0,0,0,0,1,0,214,5200,0,1,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
2423,0,0,0,0,0,0,0,0,0,1,0,306,1041,0,1,0,0,0,18,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,1,original
1864,0,0,0,0,0,0,0,0,0,1,0,279,255,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,107,255,1.0,0.0,0.01,0.05,0.0,0.0,0.23,0.65,1,original
4401,0,0,0,0,0,0,0,0,0,1,0,308,2507,0,1,0,0,0,4,41,0.0,0.0,0.0,0.0,1.0,0.0,0.05,255,248,0.97,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1,original
1450,0,0,0,0,0,0,0,0,0,1,0,216,420,0,1,0,0,0,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
2124,0,0,0,0,0,0,0,0,0,1,0,336,3915,0,1,0,0,0,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.67,2,255,1.0,0.0,0.5,0.02,0.0,0.0,0.0,0.0,1,original
1793,0,0,0,0,0,0,0,0,0,1,0,319,3831,0,1,0,0,0,6,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,17,255,1.0,0.0,0.06,0.04,0.06,0.0,0.0,0.0,1,original
5049,0,0,0,0,0,0,0,0,0,1,0,162,19994,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,255,1.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,1,original
6936,0,0,0,0,0,0,0,0,0,1,0,221,534,0,1,0,0,0,37,37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
3885,0,0,0,0,0,0,0,0,0,1,0,205,434,0,1,0,0,0,29,33,0.0,0.0,0.0,0.0,1.0,0.0,0.06,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
7750,0,0,0,0,0,0,0,0,0,1,0,332,2344,0,1,0,0,0,8,12,0.0,0.0,0.0,0.0,1.0,0.0,0.25,124,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,1,original
5680,0,0,0,0,0,0,0,0,0,1,0,289,11944,0,1,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
6955,0,0,0,0,0,0,0,0,0,1,0,305,759,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,1,original
3113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119,20,1.0,1.0,0.0,0.0,0.17,0.05,0.0,255,14,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0.0,0,original
1488,0,0,0,0,0,0,0,0,0,1,0,182,1805,0,1,0,0,0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,1,original
7890,0,0,0,0,0,0,0,0,0,1,0,288,1376,0,1,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,227,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1,original
3365,0,0,0,0,0,0,0,0,0,1,0,303,1694,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
5689,0,0,0,0,0,0,0,0,0,1,0,208,999,0,1,0,0,0,22,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
2034,0,0,0,0,0,0,0,0,0,1,0,200,4763,0,1,0,0,0,31,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,1,original
2925,0,0,0,0,0,0,0,0,0,1,0,230,807,0,1,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,140,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,1,original
5206,0,0,0,0,0,0,0,0,0,1,0,54540,8314,2,1,1,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,26,1.0,0.0,0.04,0.0,0.0,0.0,0.08,0.08,0,original
3199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0.75,0.86,0.25,0.14,0.75,0.38,0.29,255,47,0.18,0.04,0.0,0.0,1.0,1.0,0.0,0.0,0,original
1514,0,0,0,0,0,0,0,0,0,1,0,199,293,0,1,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,131,255,1.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0,1,original
265,0,0,0,0,0,0,0,0,0,1,0,308,607,0,1,0,0,0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
0,0,0,0,0,0,0,0,0,0,1,0,232,8153,0,1,0,0,0,5,5,0.2,0.2,0.0,0.0,1.0,0.0,0.0,30,255,1.0,0.0,0.03,0.04,0.03,0.01,0.0,0.01,1,original
1451,0,0,0,0,0,0,0,0,0,1,0,210,307,0,1,0,0,0,11,14,0.09,0.07,0.0,0.0,1.0,0.0,0.14,11,255,1.0,0.0,0.09,0.05,0.09,0.02,0.0,0.0,1,original
5643,0,0,0,0,0,0,0,0,0,1,0,318,762,0,1,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
4568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124,4,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0.0,0,original
7325,0,0,0,0,0,0,0,0,0,1,0,253,1721,0,1,0,0,0,13,32,0.0,0.0,0.0,0.0,1.0,0.0,0.09,168,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,1,original
2833,0,0,0,0,0,0,0,0,0,1,0,331,2554,0,1,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19,255,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,1,original
5865,0,0,0,0,0,0,0,0,0,1,0,308,12542,0,1,0,0,0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
838,0,0,0,0,0,0,0,0,0,1,0,213,1713,0,1,0,0,0,12,13,0.0,0.0,0.0,0.0,1.0,0.0,0.15,41,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,1,original
14,0,0,0,0,0,0,0,0,0,1,0,302,498,0,1,0,0,0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,131,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,1,original
5834,0,0,0,0,0,0,0,0,0,1,0,340,805,0,1,0,0,0,22,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,218,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1,original
3513,0,0,0,0,0,0,0,0,0,1,0,295,1547,0,1,0,0,0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,255,1.0,0.0,0.11,0.03,0.0,0.0,0.0,0.0,1,original
5071,0,0,0,0,0,0,0,0,0,1,0,228,1271,0,1,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,1,original
4564,0,0,0,0,0,0,0,0,0,1,0,309,1109,0,1,0,0,0,12,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
8,0,0,0,0,0,0,0,0,0,1,0,215,10499,0,1,0,0,0,14,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,original
1928,0,0,0,0,0,0,0,0,0,1,0,326,12944,0,1,0,0,0,22,34,0.0,0.0,0.0,0.0,1.0,0.0,0.12,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,original
5269,0,0,0,0,0,0,0,0,0,1,0,155,9618,0,1,0,0,0,12,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,107,255,1.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,1,original
3370,0,0,0,0,0,0,0,0,0,1,0,324,2174,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,1,original
1039,0,0,0,0,0,0,0,0,0,1,0,282,8171,0,1,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,170,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,1,original
3617,0,0,0,0,0,0,0,0,0,1,0,207,337,0,1,0,0,0,47,47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,1,original
6118,0,0,0,0,0,0,0,0,0,1,0,200,647,0,1,0,0,0,5,11,0.0,0.0,0.0,0.0,1.0,0.0,0.36,51,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,1,original
3721,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,14,0.0,0.0,1.0,1.0,0.06,0.07,0.0,255,14,0.05,0.08,0.0,0.0,0.0,0.0,1.0,1.0,0,original
7731,297,0,0,0,0,0,0,0,0,1,0,339,284,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,1,0.08,0.23,0.08,0.0,0.54,0.0,0.0,0.0,1,original
3892,0,0,0,0,0,0,0,0,0,1,0,289,4080,0,1,0,0,0,5,7,0.0,0.0,0.0,0.0,1.0,0.0,0.43,248,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1,original
3787,421,0,0,0,0,0,0,0,0,1,0,350,128,0,1,0,0,0,5,16,0.0,0.0,0.0,0.0,1.0,0.0,0.12,10,255,1.0,0.0,0.1,0.03,0.0,0.0,0.0,0.0,1,original
339,0,0,0,1,0,0,0,0,0,0,0,242,16819,0,1,0,0,0,7,7,0.0,0.0,0.43,0.43,1.0,0.0,0.0,128,255,1.0,0.0,0.01,0.01,0.0,0.0,0.03,0.02,1,original
121,0,0,0,0,0,0,0,0,0,1,0,210,3754,0,1,0,0,0,18,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62,255,1.0,0.0,0.02,0.02,0.0,0.01,0.0,0.0,1,original
