is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target,source
1,1,0,0,2,33,0,33,0,3,1,smote
1,1,0,1,0,4,0,15,0,81,1,smote
1,1,0,0,0,4,0,10,0,30,1,smote
1,1,0,0,20,20,0,20,0,3,1,smote
1,1,0,1,0,6,1,9,0,18,1,smote
1,1,0,0,1,32,0,32,0,3,1,smote
1,1,0,0,17,17,0,17,0,4,1,smote
1,1,0,0,8,9,8,8,0,1162,1,smote
1,1,0,0,0,6,2,8,0,1092,1,smote
1,1,0,1,0,2,0,10,0,112,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,0,17,17,0,17,0,3,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,0,18,18,0,18,0,5,1,smote
1,1,0,1,0,6,1,9,0,28,1,smote
0,1,0,0,0,5,0,12,0,32,1,smote
1,1,0,0,17,17,0,17,0,5,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,0,19,19,0,19,0,4,1,smote
1,1,0,0,11,12,11,8,0,1703,1,smote
0,1,0,1,0,6,0,10,0,21,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,1,0,7,0,16,0,9,1,smote
1,1,0,1,0,6,0,9,0,20,1,smote
1,1,0,0,19,19,0,19,0,3,1,smote
1,1,0,0,9,40,0,40,0,3,1,smote
0,1,1,1,0,8,0,16,0,10,1,smote
1,1,0,0,7,38,0,38,0,3,1,smote
0,1,0,0,0,5,0,10,0,9,1,smote
1,1,0,0,0,5,0,15,0,421,1,smote
0,1,0,0,0,4,0,8,0,51,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,0,4,8,5,8,0,1488,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,1,1,0,5,0,17,0,90,1,smote
1,1,0,1,0,6,0,14,0,14,1,smote
1,1,0,0,3,34,0,34,0,3,1,smote
1,1,0,0,1,4,0,13,0,8,1,smote
1,1,0,0,16,16,0,16,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,0,10,10,0,10,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,1,0,6,0,17,0,15,1,smote
0,1,1,1,0,5,0,10,0,63,1,smote
1,1,0,0,8,39,0,39,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,1,0,7,0,10,0,21,1,smote
0,1,0,1,0,7,0,12,0,29,1,smote
1,1,0,0,18,18,0,18,0,4,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,19,19,0,19,0,3,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,0,5,9,7,9,0,921,1,smote
0,1,0,1,0,8,0,13,0,16,1,smote
0,1,1,1,0,8,0,14,0,13,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
0,1,0,1,0,7,0,11,0,14,1,smote
0,1,0,0,0,3,0,10,0,45,1,smote
1,1,0,0,10,10,0,10,0,3,1,smote
1,1,0,0,13,44,0,44,0,5,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,1,0,6,1,9,0,28,1,smote
1,1,0,0,1,32,0,32,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,13,13,0,13,0,3,1,smote
1,1,0,0,5,13,2,7,0,11,1,smote
